virusUprot,humanUprot
P26662,D2KUA6
Q68113,P04637
Q68123,P04637
Q68124,P04637
Q68139,P04637
Q68149,P04637
Q6QY91,P04637
Q6QY92,P04637
Q6QY99,P04637
Q6QYA1,P04637
Q6QYA2,P04637
Q6QYA6,P04637
Q6QYA7,P04637
Q6QYB1,P04637
Q6QYB2,P04637
Q6QYB4,P04637
Q6QYB6,P04637
Q6QYB7,P04637
Q6QYB8,P04637
Q6QYB9,P04637
Q6QYC1,P04637
Q6QYC2,P04637
Q6QYC3,P04637
Q6QYE5,P04637
Q6QYE6,P04637
Q6QYE7,P04637
Q6QYE8,P04637
Q6QYE9,P04637
Q6QYF0,P04637
Q6QYF1,P04637
Q6QYF2,P04637
Q6QYF6,P04637
Q6QYF7,P04637
Q6QYF9,P04637
Q6QYG0,P04637
Q6QYG5,P04637
Q6QYJ7,P04637
Q6QYJ9,P04637
Q6QYK0,P04637
Q6QYK2,P04637
Q6QYK3,P04637
Q6QYK6,P04637
Q6QYK7,P04637
Q6QYK8,P04637
Q6QYK9,P04637
Q6QYL0,P04637
Q6QYL1,P04637
Q6QYL2,P04637
Q6QYL4,P04637
Q6QYL5,P04637
Q6QYM0,P04637
Q6QYN0,P04637
Q6QYQ9,P04637
Q6QYR1,O00571
Q6QYR1,P61978
Q6QYR2,O00571
Q6QYR2,P61978
Q6QYR3,O00571
Q6QYR3,P61978
Q6QYR4,O00571
Q6QYR4,P61978
Q6QYR5,O00571
Q6QYR5,P61978
Q6QYR6,O00571
Q6QYR6,P61978
Q6QYR7,O00571
Q6QYR7,P61978
Q6QYT2,O00571
Q6QYT2,P61978
Q6QYT4,O00571
Q6QYT4,P61978
Q6QYT5,O00571
Q6QYT5,P61978
Q6QYT6,O00571
Q6QYT6,P61978
Q6QYT7,O00571
Q6QYT7,P61978
Q6QYT8,O00571
Q6QYT8,P61978
Q6QYT9,O00571
Q6QYT9,P61978
Q6QYU0,O00571
Q6QYU0,P61978
Q6QYU1,O00571
Q6QYU1,P61978
Q6QYU2,O00571
Q6QYU2,P61978
Q6QYU3,O00571
Q6QYU3,P61978
Q6QZ00,O00571
Q6QZ00,P61978
Q6QZ04,O00571
Q6QZ04,P61978
Q6QZ15,O00571
Q6QZ15,P61978
Q6QZ18,O00571
Q6QZ18,P61978
Q6QZ19,O00571
Q6QZ19,P61978
Q6QZ20,O00571
Q6QZ20,P61978
Q6QZ21,O00571
Q6QZ21,P61978
Q6QZ22,O00571
Q6QZ22,P61978
Q6QZ25,O00571
Q6QZ25,P61978
Q6QZ26,O00571
Q6QZ26,P61978
Q6QZ27,O00571
Q6QZ27,P61978
Q6QZ28,O00571
Q6QZ28,P61978
Q6QZ29,O00571
Q6QZ29,P61978
Q6QZ31,O00571
Q6QZ31,P61978
Q6QZ32,O00571
Q6QZ32,P61978
Q6QZ56,O00571
Q6QZ56,P61978
Q6QZ58,O00571
Q6QZ58,P61978
Q6QZ60,O00571
Q6QZ60,P61978
Q6QZ61,O00571
Q6QZ61,P61978
Q6QZ62,O00571
Q6QZ62,P61978
Q6QZ63,O00571
Q6QZ63,P61978
Q6QZ64,O00571
Q6QZ64,P61978
Q6QZ67,O00571
Q6QZ67,P61978
Q6QZ80,O00571
Q6QZ80,P61978
Q6QZ81,O00571
Q6QZ81,P61978
Q6QZ82,O00571
Q6QZ82,P61978
Q6QZ83,O00571
Q6QZ83,P61978
Q6QZ84,O00571
Q6QZ84,P61978
Q6QZ85,O00571
Q6QZ85,P61978
Q6QZ87,O00571
Q6QZ87,P61978
