,virusUprot,humanUprot
989,P03430,P22626
990,P05777,Q13247
991,P03470,P07339
992,P15682,Q09028
993,P05777,Q9NVV4
994,P03430,Q07020
995,P03427,P23588
996,P05777,Q13148
997,P03427,O15371
998,P15659,P25686
999,P05780,Q15008
1000,P05777,P62854
1001,P15659,Q96SI9
1002,P05777,P61254
1003,P03454,P06748
1004,P03470,Q7L014
1005,P15682,P11940
1006,P03427,P46782
1007,P03470,P61163
1008,P03470,P35249
1009,P03430,O60884
1010,P15682,Q6FI13
1011,P15682,P62995
1012,P03427,Q00577
1013,P03427,P61353
1014,P05777,P49588
1015,P03430,Q14974
1016,P15682,P09651
1017,P05780,P07900
1018,P15682,P60660
1019,P15682,P0C0S5
1020,P03470,P27348
1021,P03430,Q9Y3U8
1022,P15659,P15880
1023,P03430,Q96AG4
1024,P05777,P04843
1025,P03454,P12236
1026,P05777,P61026
1027,P03470,P13647
1028,P05777,O95232
1029,P05780,P08238
1030,P03454,O43852
1031,P15682,P11388
1032,Q82506,Q8TD20
1033,P05777,Q7KZF4
1034,P05777,P07237
1035,P03430,Q06830
1036,P15682,Q7L2J0
1037,P05780,O00571
1038,P03454,P50990
1039,P05780,P62913
1040,P15682,Q2NL82
1041,P03470,O75688
1042,P03427,Q9UNK9
1043,P05777,O75688
1044,Q82506,P61353
1045,P03470,Q9H173
1046,P05780,P52272
1047,P15682,P62249
1048,P05777,P40937
1049,P03470,Q16891
1050,P15682,P17987
1051,P05777,P28072
1052,P03470,Q6P2Q9
1053,P15659,Q15427
1054,P05777,Q9BQA1
1055,P03454,P51991
1056,P03454,P25789
1057,P03427,P29692
1058,P03427,O95817
1059,P03427,P63244
1060,P15682,P67936
1061,P03454,Q9GZQ8
1062,P03470,P0C0S8
1063,P03470,Q9BQA1
1064,P03454,P43686
1065,P03430,P0C0S8
1066,Q82506,P49207
1067,P03454,P51114
1068,P15659,P13639
1069,P03454,P27824
1070,Q1K9H5,P68104
1072,P03431,Q6PYX1
1073,Q1K9H5,P02794
1074,P03508,Q13077
1077,P03431,P35637
1078,P03427,O95071
1079,P05780,P54136
1080,P05780,P61106
1081,P05777,P12814
1082,P15682,P05787
1083,P03470,P31153
1084,P03430,Q9BZE4
1085,P05777,P98175
1086,P03427,Q5T4S7
1087,P15682,Q00610
1088,P05780,P37235
1089,P15682,P52294
1090,P15659,P36578
1091,P15682,Q02543
1092,P05780,Q8N2K0
1093,P03427,P26599
1094,P15682,Q86YP4
1095,P05780,Q92945
1096,P03454,Q99733
1097,P03470,P05141
1098,P03470,P08708
1099,P05777,P62888
1100,P15682,Q99729
1101,P03454,P50914
1102,P05780,P50990
1103,P05777,P62424
1104,P15682,Q14203
1105,P15659,P11142
1106,P05777,P04350
1107,P03470,Q9UNM6
1108,P03470,P78527
1109,P05777,Q9UBX3
1110,P03427,P05787
1111,P03427,Q8WZ42
1112,P03470,P13010
1113,P03430,P18077
1114,P05777,P60842
1115,P15682,Q9Y2Q9
1116,P03470,P11021
1117,P15682,P08621
1118,P03427,P13645
1119,P03427,P62807
1120,P03470,P62191
1121,P05777,P18085
1122,P15659,Q9Y3B4
1123,P15659,Q13813
1124,P03430,P83111
1125,P03470,P62701
1126,P15682,O14979
1127,P03454,P30050
1128,P03470,P36776
1129,P05780,P30154
1130,P03496,P19525
1131,P15682,Q9Y696
1132,P05777,Q9NUL3
1133,P15659,Q8TD20
1134,P03454,P23246
1135,P05780,Q99733
1136,P03454,Q16891
1137,P15682,O75934
1138,P15682,P62333
1139,P03430,P46781
1140,P05780,P55209
1141,P05780,Q6YHU6
1142,P05777,Q13895
1143,P03470,Q9HCE6
1144,P05777,P62937
1145,P15682,Q99459
1146,P03454,P18124
1147,P03430,P26368
1148,P05777,P11387
1149,P15682,Q9NRX1
1150,P03430,P83881
1151,P03454,P25398
1152,P03470,P15311
1153,P05777,P68371
1154,P03430,Q92522
1155,P03427,Q15365
1156,P05777,Q04637
1157,P15659,P06493
1158,P03454,Q8WWP7
1159,P05777,P49137
1160,P03470,Q8WU90
1161,P03470,P32969
1162,P15682,P38646
1163,Q82506,Q13243
1164,P05777,Q9UNM6
1165,P03430,Q96HS1
1166,P05777,P60903
1167,P05777,P50402
1168,P03427,Q15393
1169,P05777,O43324
1170,P15682,Q9BVI4
1171,P03427,Q9H078
1172,P05777,Q9NVI7
1173,P15659,P62979
1174,P05780,P39656
1175,P15682,Q14011
1176,P05777,Q8WU90
1177,P15682,P13010
1178,P05780,Q04637
1179,P03470,O75534
1180,P15682,P46781
1181,P03470,P26368
1182,P05780,P29692
1183,P15659,Q03135
1184,P05777,O15355
1185,P05777,P17980
1186,P05777,P07437
1187,P05777,O43175
1188,P03470,Q02543
1189,P03427,O75688
1190,P15682,Q9Y265
1191,P15682,Q9BTE7
1192,P03427,P51991
1193,P03454,Q13438
1194,P05780,P23396
1195,Q82506,P62424
1196,P15659,Q06830
1197,P05780,Q9P035
1198,P15682,O95816
1199,P03470,P50454
1201,P03470,P11940
1202,P15659,O75688
1203,P03430,P60660
1204,Q20MH0,Q99729
1205,P03470,P31946
1206,P05780,P83731
1207,Q82506,P06737
1208,P03430,P62851
1209,P05777,Q96N67
1210,P03427,P63220
1211,P03430,P36578
1212,P15659,P60660
1213,P03454,P42766
1214,P05780,P11021
1215,P05780,Q9NU22
1216,P03470,P63313
1217,P15659,P62249
1218,P15659,Q9BUF5
1219,P05777,P00533
1220,P05780,Q06830
1221,P15682,Q9BQ67
1222,Q82506,P62979
1223,P03427,P46821
1224,P05780,Q99747
1225,P15682,P14625
1226,Q82506,Q13573
1227,P03430,Q13435
1228,P15682,P15311
1229,P05780,Q86Y56
1230,P05777,P26368
1231,Q20MH0,P62081
1232,P05777,Q12905
1233,P15659,Q14315
1234,P03427,P98175
1235,P03430,Q96EY1
1236,P03430,P61254
1237,P03470,Q14697
1238,P03427,Q15717
1239,P03470,Q9UMS4
1240,P03427,Q13200
1241,P03470,O75390
1242,P05780,Q9H4A6
1243,P03454,P35908
1244,P03470,O00303
1245,P15682,P50991
1246,P15682,Q9H814
1247,P05777,P27348
1248,P03470,P23458
1249,P15682,P56537
1250,P15682,Q8IWX8
1251,P15682,P62081
1252,P15682,Q9UKM9
1253,P03454,Q8IXK0
1254,P03430,P11277
1255,P15659,Q12905
1256,P05780,P60468
1257,P03427,P35527
1258,P03470,P10599
1259,P03470,Q09028
1260,P05777,P11021
1261,P05780,P33947
1262,P15682,O15372
1263,P15659,P36542
1264,P03470,P27797
1265,P03430,P06730
1266,P05777,P52597
1267,P05780,P61353
1268,P05777,Q9Y224
1269,P03470,O00487
1270,Q20MH0,P07437
1271,Q82506,P36578
1272,P03430,Q9BQ67
1273,P05777,Q9H2U1
1274,P05777,Q9UL46
1276,Q1K9H5,P51948
1277,Q1K9H5,Q13287
1278,Q1K9H5,Q7RTY1
1283,P05777,P25205
1284,P05780,P48643
1285,Q20MH0,Q92522
1286,P03470,P05455
1287,P15659,P60468
1288,P05777,P83731
1289,P03470,Q8TF72
1290,P05777,Q9H0A0
1291,P15659,Q07666
1292,P03454,Q13247
1293,P15659,Q9BQA1
1294,P15682,Q9NR30
1295,P05777,P53999
1296,P03454,P62316
1297,P05780,Q07021
1298,Q82506,P62917
1299,P03470,P62277
1300,P03454,Q07065
1301,P03454,P30101
1302,P03470,P34932
1303,P05780,P08865
1304,P15682,P62847
1305,P05777,O60884
1306,P03470,P17987
1307,P05780,P13639
1308,P03470,P30050
1309,P15659,P50914
1310,P05777,Q9P2R3
1311,P05780,P31689
1312,P05780,Q8IUR0
1313,P03427,P62917
1314,P05777,Q8TEX9
1315,P03454,P11908
1316,P03430,P25686
1317,P15659,Q9NS86
1318,P03470,P62328
1319,P05780,P62249
1320,P03430,P52732
1321,Q82506,Q13151
1322,P05780,Q9Y6C9
1323,P03427,P52294
1324,P05777,Q2TB90
1325,P15659,P10809
1326,Q20MH0,Q02878
1327,Q82506,Q14103
1328,P03470,Q8TDL5
1329,P03427,Q15149
1330,P15682,Q9H0A0
1331,P15682,P50914
1332,P03427,Q99615
1333,P05780,P55084
1334,P05777,Q14839
1335,P05777,Q14258
1336,P15682,P42677
1337,P03496,P78406
1338,P03470,Q9BPX3
1339,P15682,O95373
1340,P03430,Q5BJE1
1341,Q20MH0,P61247
1342,P15682,Q92665
1343,P05777,P49755
1344,P05777,Q96IX5
1345,P03470,P62308
1346,P03470,Q9P035
1347,Q82506,P98179
1348,P03470,P20810
1349,P03454,P35527
1350,P03427,P07900
1351,P05780,Q00266
1352,P03470,P61247
1353,P05780,P40939
1354,P15682,P04637
1355,P05780,P26641
1356,P03454,Q07666
1357,P03427,Q99729
1358,P03427,O75533
1359,P03470,Q8WUA2
1360,P05780,P62277
1361,P03427,P42677
1362,P15659,Q13247
1363,Q20MH0,P50991
1364,P05777,Q02978
1365,P05777,P31946
1366,P15682,Q13838
1367,P05777,P35998
1368,P03430,P25205
1369,P15682,Q96HS1
1370,P15682,Q92945
1371,P03470,P06748
1372,P03430,Q13310
1373,P05780,P60953
1374,P05780,P05141
1375,P03430,Q9UMS4
1376,P15659,P40227
1377,P03427,Q9Y657
1378,Q82506,Q96L21
1379,P05777,Q75N03
1380,P05777,O43242
1381,P03470,Q8N1W1
1382,P15659,O60506
1383,P03454,Q86YZ3
1384,P05777,P30041
1385,P15659,P84090
1386,P15682,Q8WVM0
1387,P05780,P68032
1388,Q82506,Q8WWY3
1389,P03427,P08708
1390,P15682,P78362
1391,P15682,Q92598
1392,P03430,Q01081
1393,P03427,P46783
1394,P05777,P24534
1395,Q20MH0,P49368
1396,P03454,O43143
1397,P03454,P07305
1398,P03430,Q9NR30
1399,P15659,P46783
1400,P03454,P46782
1401,P03470,P78362
1402,P15682,P52907
1403,P05777,Q99623
1404,P03470,P35544
1405,P03454,Q02878
1406,P05780,O00622
1407,P05777,O15042
1408,P05777,P37802
1410,P05780,Q9NVJ2
1411,P15682,Q9Y3D9
1412,P15682,P46783
1413,P03470,Q96SB4
1414,P03427,Q8WWY3
1415,P15659,P05455
1416,P03427,P18124
1417,P03470,P21333
1418,P05777,P62495
1419,P15682,P33993
1420,P03430,P46783
1421,P03454,P13647
1422,P05777,P17096
1423,P15682,Q08J23
1424,P05777,P18669
1425,P15682,P53999
1426,P05777,P62701
1427,P05780,A6NDU8
1429,P03470,Q3ZCQ8
1430,P15659,P62829
1431,P03470,Q14974
1432,P05777,P62834
1433,Q82506,Q15717
1434,P03470,P50502
1435,Q82506,P62995
1436,P05777,O15360
1437,P05780,O43264
1438,P03454,P17980
1439,P05780,Q7Z4Q2
1440,P03470,Q96AG4
1441,P05777,P14868
1442,P05777,Q9NX63
1443,P03427,P62318
1444,Q20MH0,P15880
1445,P05780,P61201
1446,P05780,O75964
1447,P05780,Q13144
1448,P05777,Q15393
1449,P03454,P08238
1450,P03470,P04075
1451,Q82506,Q07020
1452,P03454,Q9HCE6
1453,P15682,Q9H307
1454,Q82506,Q13185
1455,P03427,Q1KMD3
1456,P03470,P17844
1457,P03430,Q02878
1458,P05777,P61619
1459,P05780,P62333
1460,P05777,Q13347
1461,Q82506,P62851
1462,P03454,P14625
1463,P05777,P84090
1464,P03470,P46821
1465,P05777,P40616
1466,P03430,P62249
1467,P05780,P04264
1468,P15682,P62241
1469,P15659,O95793
1470,P15682,Q16576
1471,P03427,P78371
1472,P05777,O43815
1473,P05777,Q14697
1474,P05777,O95831
1475,P03430,Q99615
1476,P03454,P27797
1477,P03427,O43823
1478,P05777,P60953
1479,P05780,O14981
1480,P03454,P0C0S5
1481,P05777,O14744
1482,P03454,P07737
1483,P03466,P52294
1486,P03508,Q9H2G9
1487,P03508,P43360
1488,P03466,P52294
1489,P03430,O60506
1490,P03454,P46821
1491,Q82506,P82914
1492,P15659,P50991
1493,P15682,Q13247
1494,P15682,Q9NUL3
1495,P03470,P28838
1496,P03470,P61353
1497,P03470,P62834
1498,P15659,P46821
1499,P03430,Q9BQE3
1500,P03470,P62906
1501,P15682,Q9BUQ8
1502,P05777,P31948
1503,P15659,P04844
1504,P15682,P19338
1505,P03427,P16401
1506,P15659,P11940
1507,P03470,P35998
1508,P03470,P11387
1509,P05777,Q96AG4
1510,P03430,P04792
1511,P15682,P55036
1512,P03470,P63104
1513,P15682,P50454
1514,P03470,O15042
1515,P05780,P42166
1516,P15682,P11142
1517,P03427,Q9Y6M1
1518,P15682,P62266
1519,P05777,P17812
1520,P05780,Q9BW27
1521,P03430,P67809
1522,P15682,O15160
1523,P03470,P30044
1524,P15659,Q01081
1525,Q82506,P05386
1526,P05777,O43615
1527,P05780,Q14697
1528,P15682,P11387
1529,P15659,Q9P0J7
1530,P05780,P50748
1531,P03454,P67809
1532,P03454,P62851
1533,P03470,P41252
1534,P05777,O94973
1535,P15682,P22626
1536,P05780,P11940
1537,P03470,Q13435
1538,P03454,P51116
1539,P05780,P62826
1540,P15682,O43823
