,virusUprot,humanUprot
6741,Q1K9H5,O43707
6743,Q1K9H5,P10515
6744,Q20MH8,P43003
6747,Q20MH8,Q5JTZ9
6749,B4URE7,P51809
6751,Q20MH8,Q8N1F7
6753,Q1K9H5,P48556
6754,B4URF7,P07900
6755,Q20MH8,Q9UNL2
6756,B4URF7,Q08945
6757,Q20MH8,Q9Y296
6759,Q1K9H5,Q9H9H4
6761,Q1K9H5,Q9Y5K5
6762,Q1K9H5,O15355
6763,Q1K9H5,Q92504
6764,Q1K9H5,O95831
6765,B4URE7,Q00325
6767,Q1K9H2,P51398
6769,Q1K9H2,Q01130
6770,Q20MH8,Q9UJX3
6771,B4URF7,Q15008
6772,Q1K9H2,Q9BYK8
6774,Q1K9H2,O43390
6775,B4URE7,Q8TF09
6776,Q1K9H2,P82914
6777,B4URE7,P10321
6779,B4URE7,P21964
6781,Q20MH8,P49756
6782,Q1K9H5,P28070
6783,Q1K9H2,P62304
6784,Q20MH8,Q5JPH6
6785,Q1K9H5,Q9UK41
6787,Q1K9H2,Q13247
6788,Q1K9H5,O00233
6789,Q1K9H5,Q8WW22
6792,B4URF7,Q13347
6794,Q20MH8,Q93008
6795,Q20MH8,P43487
6796,Q1K9H5,O15173
6798,B4URF7,P28072
6800,Q1K9H5,P40855
6801,Q20MH8,Q14232
6803,B4URE7,Q01650
6804,B4URF7,Q9UNM6
6805,Q1K9H5,Q9NRX2
6806,Q1K9H2,Q7L2J0
6807,B4URE7,Q14CN4
6808,Q1K9H2,O75526
6809,Q1K9H5,P62979
6810,Q20MH8,P51617
6811,Q20MH8,P68133
6813,B4URF7,Q14498
6814,Q20MH8,P48735
6815,Q20MH8,Q9UNS1
6816,Q1K9H5,Q9H4A5
6817,Q20MH8,O94905
6818,Q1K9H5,Q9NRG9
6821,Q20MH8,P46977
6822,Q20MH8,P10589
6823,Q1K9H2,Q13242
6824,Q1K9H5,Q04917
6826,Q1K9H2,Q53F19
6827,Q20MH8,P06733
6828,Q1K9H2,Q9Y2R9
6829,B4URE7,Q53GQ0
6830,Q1K9H5,P67775
6831,Q20MH8,P38606
6832,Q20MH8,Q96CW5
6833,Q1K9H5,Q96EQ0
6835,Q20MH8,O14893
6836,B4URE7,P25398
6837,Q1K9H5,Q9H078
6838,Q20MH8,Q9P2J5
6839,Q1K9H2,P82921
6840,Q20MH8,Q86XI2
6841,Q1K9H5,Q9NP97
6842,Q1K9H5,P04632
6844,Q1K9H5,P14209
6845,B4URF7,P29966
6846,Q1K9H5,P09543
6847,Q1K9H5,O95905
6848,Q1K9H5,O00165
6849,Q20MH8,P51648
6850,Q1K9H2,Q1KMD3
6851,B4URE7,Q9Y289
6852,B4URE7,Q9P000
6854,Q1K9H5,P21912
6855,Q1K9H5,Q13619
6856,Q1K9H2,Q96EY7
6857,Q20MH8,P28799
6858,Q1K9H2,Q00577
6859,B4URE7,O60488
6860,Q1K9H5,O00231
6861,Q1K9H5,Q9UNF1
6862,Q1K9H5,Q8TEM1
6863,Q20MH8,P50991
6865,Q1K9H5,Q9UNE7
6866,Q20MH8,Q92621
6867,B4URE7,O14735
6872,Q20MH8,Q96Q05
6873,Q1K9H5,Q99733
6874,Q1K9H2,Q96DU9
6875,Q20MH8,Q9Y4R8
6876,Q20MH8,O15269
6878,Q20MH8,Q9Y3D0
6879,B4URE7,Q15070
6880,B4URE7,P12235
6883,Q1K9H5,Q9H4A6
6884,Q20MH8,Q9HCN4
6886,Q20MH8,Q16637
6887,Q1K9H5,Q9BPZ7
6888,Q1K9H5,P78371
6891,Q20MH8,Q96HS1
6892,Q1K9H5,P35998
6893,Q20MH8,Q9NWW5
6894,Q20MH8,Q96T76
6895,Q20MH8,Q9NVI1
6897,Q1K9H5,Q92945
6900,Q1K9H5,P17655
6901,Q20MH8,O43592
6902,Q20MH8,P40939
6903,Q20MH8,Q7RTS9
6904,Q20MH8,P00338
6905,B4URE7,P84085
6907,B4URF7,P35998
6909,B4URF7,O14818
6910,Q1K9H2,P16989
6911,B4URF7,P17980
6912,Q20MH8,Q86VP6
6913,Q1K9H5,Q9Y5V3
6915,B4URE7,P62851
6916,Q20MH8,Q9Y2V7
6917,Q1K9H5,P60842
6918,B4URF7,Q07666
6919,Q1K9H5,Q9UDY4
6920,B4URE7,P01111
6921,Q1K9H2,Q16540
6922,B4URF7,O43852
6923,B4URE7,P43003
6924,Q1K9H5,Q8TC07
6926,Q1K9H2,Q9Y291
6927,Q20MH8,Q9UJS0
6928,Q20MH8,Q92973
6929,Q1K9H5,Q99653
6930,Q1K9H2,Q15287
6932,Q1K9H2,P31942
6933,Q20MH8,Q8WXE1
6934,Q1K9H5,P61165
6935,Q1K9H5,P24534
6936,Q20MH8,Q5T4S7
6938,Q1K9H5,P13797
6939,Q20MH8,O75396
6940,B4URE7,Q8NF37
6941,Q20MH8,Q8TCG1
6943,Q20MH8,Q8TED1
6945,Q1K9H5,O43852
6947,Q1K9H2,Q9BYN8
6949,Q20MH8,Q9UBM7
6950,Q20MH8,Q5T4S7
6952,P03454,P0DMV9
6954,P03427,P0DMV9
6955,P05777,P0DMV9
6956,P05780,A0A024R0M6
6957,P03470,P0DMV9
6958,P03430,P0DMV9
6959,P15659,P0DMV9
6961,Q1K9H2,Q01130
6963,Q20MH8,Q9NVA4
6964,B4URE7,Q8WUK0
6966,B4URE7,P30443
6967,Q1K9H5,O95071
6969,Q20MH8,Q13155
6970,Q1K9H2,P82912
6971,Q1K9H5,Q9NQC3
6973,Q1K9H2,O75569
6975,Q20MH8,Q15058
6977,Q1K9H5,P08670
6978,Q1K9H2,Q9P015
6979,Q1K9H5,O14654
6981,B4URF7,P51610
6983,Q1K9H5,O95816
6984,B4URF7,P49721
6985,B4URE7,Q15046
6986,Q20MH8,Q86Y56
6988,Q20MH8,Q969Z0
6989,B4URF7,Q9BQ70
6990,B4URF7,O95391
6991,Q1K9H5,Q9UJZ1
6992,B4URE7,Q15758
6993,Q20MH8,P21964
6994,Q1K9H5,Q96EY5
6995,Q20MH8,P60604
6996,Q1K9H2,Q9H814
6998,B4URE7,Q86T03
6999,B4URE7,Q96AB3
7001,Q1K9H2,O14559
7002,Q20MH8,Q5C9Z4
7003,Q20MH8,A6NDU8
7004,Q20MH8,P14868
7005,B4URF7,Q9UNK9
7006,Q20MH8,O75419
7007,B4URE7,P61619
7008,B4URF7,P55058
7009,Q20MH8,Q6JQN1
7010,Q20MH8,P47897
7013,Q20MH8,Q5VYK3
7014,Q1K9H5,O43164
7015,Q20MH8,Q8NI60
7016,Q20MH8,O00410
7017,Q20MH8,P18825
7018,Q1K9H5,Q6ZRV2
7020,B4URF7,P60900
7021,B4URF7,P55072
7022,Q20MH8,Q92947
7024,Q20MH8,Q96JB2
7025,B4URF7,Q96QV6
7026,Q20MH8,Q15645
7027,Q1K9H5,P43686
7028,Q1K9H2,Q13148
7029,Q20MH8,Q9UBD5
7030,B4URF7,O15027
7031,Q20MH8,Q9UHI6
7032,B4URF7,P25786
7033,B4URF7,P20618
7034,B4URE7,P53007
7035,Q1K9H5,P25787
7036,Q20MH8,Q5SRE5
7037,Q20MH8,P16615
7038,Q20MH8,A0A024R0M6
7040,B4URE7,Q14542
7042,Q1K9H5,P11717
7043,Q1K9H5,Q15185
7044,Q20MH8,P56182
7045,B4URE7,Q5XKP0
7046,B4URF7,Q9UJS0
7047,B4URF7,Q14257
7048,Q20MH8,Q9HD45
7049,Q1K9H2,P18077
7050,Q20MH8,Q9UPT5
7051,Q20MH8,Q86SZ2
7052,Q20MH8,O14787
7053,Q20MH8,Q9H857
7054,Q20MH8,Q92538
7055,B4URF7,Q9Y5V3
7056,B4URF7,O00165
7057,Q1K9H5,Q9ULX6
7059,Q1K9H5,P62195
7060,Q20MH8,Q3SY69
7061,B4URE7,Q9H2H9
7062,B4URE7,Q9C075
7063,Q20MH8,P42704
7065,B4URE7,Q5HYK3
7066,Q1K9H5,Q99714
7067,Q20MH8,Q9UP83
7068,Q20MH8,Q7Z4Q2
7069,Q20MH8,Q5UIP0
7070,Q20MH8,Q9UIA9
7072,Q1K9H5,Q07065
7073,Q1K9H5,P46459
7075,Q20MH8,Q12769
7076,Q20MH8,Q9BZX2
7077,Q20MH8,Q9UBM7
7078,Q1K9H5,Q7Z6Z7
7079,B4URE7,Q8NBW4
7081,Q1K9H2,P82932
7083,Q1K9H5,Q99816
7085,Q20MH8,Q99623
7087,B4URF7,Q14568
7088,Q20MH8,Q9NRY5
7089,Q20MH8,P35232
7090,Q20MH8,Q8WXD5
7091,Q1K9H5,P28074
7092,Q1K9H5,O75439
7093,B4URF7,Q9GZS3
7098,Q1K9H5,Q9C0C9
7100,Q1K9H5,O75381
7101,B4URF7,Q8N163
7104,Q1K9H2,P82930
7105,Q1K9H5,P12956
7106,Q1K9H5,P18621
7107,Q1K9H5,Q13049
7108,Q20MH8,Q13620
7109,Q20MH8,O15397
7110,Q1K9H5,Q12789
7111,B4URF7,O43823
7112,B4URF7,P55036
7115,Q20MH8,Q8TEX9
7116,B4URF7,O15131
7117,B4URF7,P62195
7118,Q20MH8,Q9BTW9
7120,Q20MH8,O43324
7121,Q20MH8,P53985
7122,Q20MH8,Q16563
7123,Q20MH8,Q13535
7124,Q1K9H2,O43439
7125,Q20MH8,Q9Y4W6
7126,Q1K9H2,P09234
7127,Q1K9H5,Q5H9R7
7128,Q1K9H5,P61163
7129,Q20MH8,Q9H9E3
7130,Q20MH8,P42345
7133,Q1K9H5,P20020
7134,Q20MH8,Q86UT6
7137,Q1K9H2,Q96I59
7138,Q1K9H5,O15118
7139,Q20MH8,Q15386
7140,B4URF7,O00232
7141,B4URF7,P62191
7142,Q1K9H5,O75190
7143,Q20MH8,A1L0T0
7144,B4URF7,Q13200
7145,B4URE7,O75955
7146,Q20MH8,Q9HAS0
7147,Q1K9H2,P07195
7148,Q1K9H5,O00264
7149,B4URE7,P01889
7150,Q20MH8,P57678
7151,Q20MH8,P42695
7152,Q20MH8,P78527
7154,Q1K9H5,P17980
7156,Q1K9H2,P37108
7157,Q20MH8,Q96QU8
7158,B4URE7,O00483
7159,Q1K9H5,P60900
7160,Q1K9H5,P54709
7161,Q1K9H2,P62314
7162,B4URF7,P51784
7163,Q20MH8,Q8NBM4
7164,Q20MH8,Q9NXF7
7165,B4URE7,Q7Z3Y8
7166,Q20MH8,O95573
7167,Q20MH8,Q9H3U1
7168,Q1K9H5,Q8N6T3
7169,B4URE7,A0A024R0M6
7170,Q1K9H2,Q13243
7171,Q1K9H2,Q15717
7172,Q20MH8,P68032
7173,Q1K9H2,Q9NR30
7174,Q20MH8,Q7L1Q6
7176,Q1K9H2,P82664
7177,B4URF7,Q15293
7178,Q1K9H5,Q13287
7179,Q1K9H2,P82933
7180,B4URF7,P28288
7181,B4URE7,O60343
7182,B4URE7,O15321
7183,Q1K9H5,P10809
7184,Q1K9H5,P53701
7185,Q20MH8,P41252
7186,Q1K9H5,P49327
7187,Q20MH8,Q7Z3U7
7188,B4URF7,Q99460
7189,Q1K9H5,P48643
7190,Q1K9H5,Q8TCT9
7191,Q20MH8,P43307
7192,Q20MH8,P50748
7193,Q1K9H2,Q07955
7194,Q20MH8,P04792
7195,Q20MH8,Q63HN8
7196,B4URF7,Q9ULX6
7197,B4URF7,Q9NNW5
7198,Q20MH8,O75155
7199,B4URE7,P02786
7200,Q1K9H2,Q96A35
7201,B4URE7,P51571
7202,B4URF7,P25685
7203,Q1K9H5,Q6P5R6
7204,Q1K9H2,Q4G0J3
7205,Q1K9H5,P04792
7206,Q1K9H2,Q92665
7207,Q1K9H5,P15924
7208,Q1K9H5,P51148
7210,Q1K9H5,Q9H3P7
7211,B4URF7,Q16543
7212,Q1K9H5,P32119
7213,Q20MH8,P34949
7215,Q20MH8,O60518
7216,Q1K9H2,Q9NUL3
7217,Q20MH8,Q14746
7218,Q1K9H5,P25789
7219,Q20MH8,Q6PJG6
7220,Q20MH8,P50454
7221,Q1K9H5,Q07812
7222,Q1K9H5,P63244
7225,B4URF7,P55735
7226,Q1K9H5,Q8IZ81
7227,Q1K9H2,P30044
7228,Q20MH8,Q15392
7229,Q1K9H5,P10599
7231,Q20MH8,P17812
7232,Q20MH8,P00403
7234,Q20MH8,P40616
7236,Q1K9H5,P60468
7237,B4URE7,Q14574
7238,Q1K9H5,Q6YN16
7239,Q20MH8,Q7Z3E5
7241,P15682,A0A024R0M6
7242,P03470,A0A024R0M6
7244,P05777,A0A024R0M6
7245,P05780,P0DMV9
7246,Q20MH0,P0DMV9
7250,P03496,P22087
7259,P03508,Q9P2Y5
7260,P15682,Q9BQG0
7261,P05780,O00743
7262,P03427,Q9Y676
7263,P05780,P0DMV8
7264,P03454,P0DMV8
7265,P15682,Q6NZI2
7266,P05780,Q9H0H0
7267,P15659,Q96CS3
7268,P05777,O00743
7269,P15682,P22087
7270,P15659,P0DMV8
7271,P05777,P22087
7272,P03427,P22087
7273,P05777,P0DMV8
7274,P05777,Q96CS3
7275,P03470,Q9BQG0
7276,P03427,Q9Y2H1
7277,P05777,P04899
7278,P05780,O43617
7279,P03427,Q6NZI2
7280,P05780,P04899
7281,P03430,O00743
7282,P15659,P04899
7283,P03427,O00743
7284,P03430,P0DMV8
7285,P05777,Q9Y2H1
7286,P03470,Q6NZI2
7287,P15659,Q6NZI2
7288,P05780,O43663
7289,P15682,O15234
7290,P15659,Q9Y2H1
7291,Q20MH0,P0DMV8
7292,P03470,P22087
7294,P15682,P0DMV8
7295,P03430,Q9BQG0
7296,P03430,P22087
7297,P03454,Q9Y2H1
7298,P03427,P0DMV8
7299,Q82506,Q6NZI2
7300,P03430,Q6NZI2
7301,P03470,P0DMV8
7303,I6T1Z2,O95639
7305,P03431,Q99959
7306,P06821,Q9UI10
7308,Q20MH8,Q9UI10
7309,P03431,Q14318
7311,Q1K9H5,Q14318
7312,Q1K9H5,Q99959
7314,P03466,Q8WV44
7315,Q1K9H2,Q8WV44
7316,Q5EP28,Q8WV44
7317,P06821,O75844
7319,Q20MH8,O75844
7320,P03452,K7EK43
7321,P03452,K7EP68
7322,P03452,P43307
7323,P03452,P53007
7324,P03452,O43251
7325,P03452,Q9P035
7326,P03452,Q9Y2X3
7327,P03452,O00165
7328,P03452,Q8WVX9
7329,P03452,Q9NVI1
7330,P03452,A0FGR8
7331,P03452,O75190
7332,P03452,O14735
7333,P03452,Q00587
7334,P03452,P56134
7335,P03452,Q9Y4R8
7336,P03452,Q6P1M0
7337,P03452,Q9H936
7338,P03452,Q9NXS2
7339,P03452,Q9Y5V3
7340,P03452,C9J406
7341,P03452,P01889
7342,P03452,P38435
7343,P03452,Q9Y678
7344,P03452,Q99653
7345,P03452,Q8WWC4
7346,P03452,Q9UBB4
7373,P06821,O43264
7374,P06821,Q5SRD1
7375,P06821,Q96TA2
7376,P06821,P22695
7377,P06821,Q6P3X3
7378,P06821,O43617
7379,P06821,Q9H3N1
7380,P06821,P42167
7381,P06821,Q9UM00
7382,P06821,Q9Y4R8
7383,P06821,P43307
7384,P06821,Q9Y5M8
7385,P06821,Q9NTJ3
7386,P06821,P08195
7387,P06821,P53007
7388,P06821,O14828
7389,P06821,Q96ER3
7390,P06821,Q6NUQ1
7391,P06821,P40938
7392,P06821,P43487
7393,P06821,Q9NXS2
7394,P06821,Q9P035
7395,P06821,O60831
7396,P06821,O00264
7397,P06821,P40855
7398,P06821,Q9NX40
7399,P06821,Q92621
7400,P06821,Q5SRE5
7401,P06821,Q8WUM0
7412,P03428,O95071
7413,P03428,Q9UNE7
7414,P03428,Q13501
7415,P03428,Q9P2F8
7416,P03428,O15027
7417,P03428,O14828
7418,P03428,Q15293
7419,P03428,O75340
7420,P03428,P13674
7421,P03428,Q99417
7422,P03428,Q15773
7423,P03428,O00629
7424,P03428,Q6ZRV2
7425,P03428,P10909
7426,P03428,Q92526
7427,P03428,O43823
7428,I6TAH8,P09012
7429,I6TAH8,Q02539
7430,I6TAH8,Q147U1
7431,I6TAH8,Q9NUD5
7432,I6TAH8,Q92900
7433,I6TAH8,Q2NL82
7434,I6TAH8,O95900
7435,I6TAH8,Q8WV44
7436,I6TAH8,O95793
7437,I6TAH8,P37108
7438,I6TAH8,P08621
7439,I6TAH8,O76021
7440,I6TAH8,P38159
7441,I6TAH8,Q00577
7442,I6TAH8,Q96EY7
7443,I6TAH8,O75127
7444,I6TAH8,Q99575
7445,I6TAH8,Q9H814
7446,I6TAH8,Q15365
7447,I6TAH8,P0CB38
7448,I6TAH8,Q9Y2X3
7449,I6TAH8,Q8NC60
7450,I6TAH8,Q09161
7451,I6TAH8,Q96I59
7452,I6TAH8,P82933
7453,I6TAH8,P82673
7454,I6TAH8,Q92665
7455,I6TAH8,Q9NP92
7456,I6TAH8,Q9Y2Q9
7457,I6TAH8,Q9BYN8
7458,I6TAH8,P82663
7459,I6TAH8,Q9Y3D9
7460,I6TAH8,P82650
7461,I6TAH8,Q9Y676
7462,I6TAH8,Q9Y3D3
7463,I6TAH8,O60783
7464,I6TAH8,Q13405
7465,I6TAH8,Q9BRJ2
7466,I6TAH8,Q9H9J2
7467,I6TAH8,Q8IXM3
7468,I6TAH8,Q9BYD3
7469,I6TAH8,Q9NYK5
7470,I6TAH8,Q9BZE1
7471,I6TAH8,Q9P015
7472,I6TAH8,P52815
7473,I6TAH8,Q9Y3B7
7474,I6TAH8,Q9BYD6
7475,I6TAH8,Q9HCE1
7476,I6TAH8,Q7L2J0
7477,I6TAH8,Q9Y383
7478,I6TAH8,Q4G0J3
7479,I6TAH8,Q92615
7480,I6TAH8,Q659C4
7481,I6TAH8,Q6PKG0
7482,I6TAH8,O60684
7483,I6TAH8,P52294
7484,I6TAH8,O00629
7485,I6TAH8,P52292
7486,I6TAH8,Q1KMD3
7487,I6TAH8,O60812
7488,I6TAH8,Q92522
7489,I6TAH8,Q9NZB2
7490,I6TAH8,O75616
7491,I6TAH8,O60832
7492,I6TAH8,P51398
7493,I6TAH8,Q13895
7494,I6TAH8,Q9NRX2
7495,I6TAH8,Q5JNZ5
7496,I6TAH8,Q9NQ39
7497,I6TAH8,P46087
7498,I6TAH8,Q9Y2R9
7499,I6TAH8,P82932
7500,I6TAH8,P82675
7501,I6TAH8,P82930
7502,I6TAH8,Q9Y399
7503,I6TAH8,Q9Y2R5
7504,I6TAH8,P82914
7505,I6TAH8,P82912
7506,I6TAH8,Q9BYD2
7507,I6TAH8,Q96GC5
7508,I6TAH8,Q9HD33
7509,I6TAH8,Q96DV4
7510,I6TAH8,Q16540
7511,I6TAH8,Q9NWU5
7512,I6TAH8,Q7Z2W9
7513,I6TAH8,P49406
7514,I6TAH8,Q6P1L8
7515,I6TAH8,Q9BYD1
7516,I6TAH8,Q9BVP2
7517,I6TAH8,Q8TAE8
7518,I6TAH8,Q96KR1
7519,I6TAH8,Q02880
7520,I6TAH8,P11388
7521,I6TAH8,Q96RS0
7522,I6TAH8,Q05519
7523,I6TAH8,Q8IYB3
7524,I6TAH8,Q15020
7525,I6TAH8,Q14690
7526,I6TAH8,Q4VXU2
7527,I6TAH8,Q9H0A0
7528,I6TAH8,O95232
7529,I6TAH8,Q5SSJ5
7530,I6TAH8,Q5T3I0
7531,I6TAH8,Q9H2U1
7532,I6TAH8,Q9NVP1
7533,I6TAH8,Q8NEC5
7549,Q5EP28,Q92900
7550,Q5EP28,P08579
7551,Q5EP28,P09661
7552,Q5EP28,P08621
7553,Q5EP28,P08195
7554,Q5EP28,Q15020
7555,Q5EP28,Q5JNZ5
7556,Q5EP28,Q00577
7557,Q5EP28,Q96EY7
7558,Q5EP28,Q99575
7559,Q5EP28,Q9Y2X3
7560,Q5EP28,P46087
7561,Q5EP28,Q09161
7562,Q5EP28,Q96I59
7563,Q5EP28,P82933
7564,Q5EP28,Q9Y2R9
7565,Q5EP28,P82932
7566,Q5EP28,P82675
7567,Q5EP28,P82673
7568,Q5EP28,P82930
7569,Q5EP28,Q92665
7570,Q5EP28,Q9NP92
7571,Q5EP28,Q9Y2Q9
7572,Q5EP28,Q9BYN8
7573,Q5EP28,Q9Y3D9
7574,Q5EP28,P82650
7575,Q5EP28,P82921
7576,Q5EP28,Q9Y676
7577,Q5EP28,Q9Y3D3
7578,Q5EP28,P82914
7579,Q5EP28,P82912
7580,Q5EP28,Q9BYD2
7581,Q5EP28,Q13405
7582,Q5EP28,Q96GC5
7583,Q5EP28,Q9HD33
7584,Q5EP28,Q9BRJ2
7585,Q5EP28,Q9BYD3
7586,Q5EP28,Q9NYK5
7587,Q5EP28,Q96DV4
7588,Q5EP28,Q9BZE1
7589,Q5EP28,Q16540
7590,Q5EP28,Q9NWU5
7591,Q5EP28,Q7Z2W9
7592,Q5EP28,P49406
7593,Q5EP28,Q9P015
7594,Q5EP28,Q9BYD1
7595,Q5EP28,P52815
7596,Q5EP28,Q9Y3B7
7597,Q5EP28,Q9BYD6
7598,Q5EP28,Q9HCE1
7599,Q5EP28,Q7L2J0
7600,Q5EP28,Q4G0J3
7601,Q5EP28,Q659C4
7602,Q5EP28,Q6PKG0
7603,Q5EP28,O60684
7604,Q5EP28,P52292
7605,Q5EP28,O60812
7606,Q5EP28,P22087
7607,Q5EP28,O60832
7608,Q5EP28,P51398
7609,Q5EP28,Q02539
7610,Q5EP28,Q96KR1
7611,Q5EP28,Q9HCS7
7612,Q5EP28,Q2NL82
7613,Q5EP28,P11388
7614,Q5EP28,Q96RS0
7615,Q5EP28,Q05519
7616,Q5EP28,Q8IYB3
7617,Q5EP28,O76021
7618,Q5EP28,Q9NW13
7619,Q5EP28,Q86UA1
7620,Q5EP28,P0CB38
7621,Q5EP28,O15226
7622,Q5EP28,Q9H0A0
7623,Q5EP28,O95232
7624,Q5EP28,Q9Y383
7625,Q5EP28,Q1KMD3
7626,Q5EP28,Q9NZB2
7627,Q5EP28,Q9NVP1
7628,Q5EP28,Q9BZJ0
7645,I6T1Z2,P10644
7646,I6T1Z2,Q9Y2X9
7647,I6T1Z2,Q9C0J8
7648,I6T1Z2,Q9Y4E8
7649,I6T1Z2,O95071
7650,I6T1Z2,Q9NX07
7651,I6T1Z2,Q9Y4R8
7652,I6T1Z2,Q8IX01
7653,I6T1Z2,P46977
7654,I6T1Z2,O15269
7655,I6T1Z2,P08195
7656,I6T1Z2,P53007
7657,I6T1Z2,O15027
7658,I6T1Z2,O14828
7659,I6T1Z2,Q5T160
7660,I6T1Z2,O94906
7661,I6T1Z2,Q86UA1
7662,I6T1Z2,Q99959
7663,I6T1Z2,Q92569
7664,I6T1Z2,O00459
7665,I6T1Z2,P27986
7666,I6T1Z2,Q15120
7667,I6T1Z2,Q15365
7668,I6T1Z2,Q9NVE7
7669,I6T1Z2,P07237
7670,I6T1Z2,P13674
7671,I6T1Z2,O15294
7672,I6T1Z2,Q5C9Z4
7673,I6T1Z2,Q3KQU3
7674,I6T1Z2,P51617
7675,I6T1Z2,O00410
7676,I6T1Z2,P51659
7677,I6T1Z2,P19367
7678,I6T1Z2,Q9BVP2
7679,I6T1Z2,Q14318
7680,I6T1Z2,Q6UN15
7681,I6T1Z2,Q8WVX9
7682,I6T1Z2,Q9NVI1
7683,I6T1Z2,A0FGR8
7684,I6T1Z2,Q9NZB2
7685,I6T1Z2,Q92499
7686,I6T1Z2,P61962
7687,I6T1Z2,P33240
7688,I6T1Z2,Q9H3G5
7689,I6T1Z2,Q9UKF6
7690,I6T1Z2,Q9P2I0
7691,I6T1Z2,Q10570
7692,I6T1Z2,Q03701
7693,I6T1Z2,O75419
7694,I6T1Z2,Q00587
7695,I6T1Z2,O95400
7696,I6T1Z2,O00257
7697,I6T1Z2,Q9P1Y5
7698,I6T1Z2,Q9Y3I0
7699,I6T1Z2,Q5T5X7
7700,I6T1Z2,Q9Y679
7701,I6T1Z2,Q9UBB4
7702,I6T1Z2,Q9UI12
7703,I6T1Z2,Q6NXE6
7704,I6T1Z2,Q5VTE6
7705,I6T1Z2,P51648
7706,I6T1Z2,O43823
7707,I6T1Z2,Q53H12
7708,I6T1Z2,Q9Y4W6
7709,I6T1Z2,Q8NI60
7710,I6T1Z2,P00403
7711,I6T1Z2,Q5SRD1
7712,I6T1Z2,Q5SW79
7713,I6T1Z2,O14735
7714,I6T1Z2,Q6P1J9
7715,I6T1Z2,P56134
7716,I6T1Z2,Q9Y312
7717,I6T1Z2,Q9NNW5
7718,I6T1Z2,P49755
7719,I6T1Z2,Q9UM00
7720,I6T1Z2,P43307
7721,I6T1Z2,P53814
7722,I6T1Z2,Q9H936
7723,I6T1Z2,Q9UBX3
7724,I6T1Z2,Q96NB2
7725,I6T1Z2,P40937
7726,I6T1Z2,Q9NWB1
7727,I6T1Z2,Q9NXS2
7728,I6T1Z2,Q5XKP0
7729,I6T1Z2,Q9P035
7730,I6T1Z2,Q9Y2X3
7731,I6T1Z2,Q99417
7732,I6T1Z2,Q15773
7733,I6T1Z2,Q9Y4W2
7734,I6T1Z2,O00165
7735,I6T1Z2,O15371
7736,I6T1Z2,O75190
7737,I6T1Z2,Q8WWF6
7738,I6T1Z2,P35251
7739,I6T1Z2,Q05048
7740,I6T1Z2,Q96TA2
7741,I6T1Z2,P22695
7742,I6T1Z2,Q6P3X3
7743,I6T1Z2,Q9NZ01
7744,I6T1Z2,Q9NTJ3
7745,I6T1Z2,Q14683
7746,I6T1Z2,Q6R327
7747,I6T1Z2,Q96T37
7748,I6T1Z2,Q5H9R7
7749,I6T1Z2,Q92621
7750,I6T1Z2,Q5SRE5
7751,I6T1Z2,Q12769
7752,I6T1Z2,Q8WUM0
7753,I6T1Z2,P57740
7754,I6T1Z2,P33991
7755,I6T1Z2,Q9Y5V3
7756,I6T1Z2,Q9BX40
7757,I6T1Z2,O95163
7758,I6T1Z2,Q86YV9
7759,I6T1Z2,P01889
7760,I6T1Z2,P42694
7761,I6T1Z2,Q7Z4H7
7762,I6T1Z2,Q12789
7763,I6T1Z2,Q68CQ7
7764,I6T1Z2,P51570
7765,I6T1Z2,Q9BXW9
7766,I6T1Z2,Q96CS3
7767,I6T1Z2,Q99615
7768,I6T1Z2,Q12996
7769,I6T1Z2,Q9Y678
7770,I6T1Z2,Q14677
7771,I6T1Z2,Q96A33
7772,I6T1Z2,Q86X55
7773,I6T1Z2,P10398
7774,I6T1Z2,Q8IWZ3
7775,I6T1Z2,Q8TCU4
7776,I6T1Z2,Q9UKA4
7777,I6T1Z2,Q9UH99
7778,I6T1Z2,P42285
7779,I6T1Z2,P40938
7780,I6T1Z2,O60812
7781,I6T1Z2,Q9UJ14
7830,P06821,A6NEC2
7831,P06821,Q9Y2X3
7832,P06821,Q5C9Z4
7833,P06821,Q9UBB6
7834,P06821,P51617
7835,P06821,O00410
7836,P06821,Q9NZL4
7837,P06821,Q86VS8
7838,P06821,Q9UJC3
7839,P06821,Q7Z4Q2
7840,P06821,O00165
7841,P06821,Q8TEQ6
7842,P06821,Q8WVX9
7843,P06821,Q9NVI1
7844,P06821,Q9BXW9
7845,P06821,Q9Y3D0
7846,P06821,Q9NRY5
7847,P06821,Q96BN8
7848,P06821,O94905
7849,P06821,Q13144
7850,P06821,Q9NR50
7851,P06821,P49770
7852,P06821,Q14232
7853,P06821,Q5VYK3
7854,P06821,Q99956
7855,P06821,P50570
7856,P06821,Q05193
7857,P06821,Q9UHI6
7858,P06821,Q8WTW3
7859,P06821,Q9NX63
7860,P06821,Q15517
7861,P06821,O14735
7862,P06821,O75419
7863,P06821,Q9Y6E2
7864,P06821,Q7L1Q6
7865,P06821,O14981
7866,P06821,Q9UBB4
7867,P06821,Q9UI12
7868,P06821,P38606
7869,P06821,P56385
7870,P06821,Q6NXE6
7871,P06821,P51648
7872,P06821,Q8NI60
7873,P03468,Q9NYU2
7874,P03468,Q9C037
7875,P03468,P13667
7876,P03468,O00410
7877,P03468,O14967
