"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Influenza A virus STRAIN A / BREVIG MISSION / 1 / 1918 (H1N1)","88776","Q99AU3","NS1_I18A0 ","P46108","CRK_HUMAN ","phage display","18165234"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q1K9H5","Q1K9H5_I33A0 ","P51948","MAT1_HUMAN ","cytoplasmic complementation assay","21994455"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q1K9H5","Q1K9H5_I33A0 ","Q13287","NMI_HUMAN ","cytoplasmic complementation assay","21994455"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q1K9H5","Q1K9H5_I33A0 ","Q7RTY1","MOT9_HUMAN ","two hybrid","21994455"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P25205","MCM3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P48643","TCPE_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q20MH0","PB1F2_I33A0 ","Q92522","H1X_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P05455","LA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P60468","SC61B_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P83731","RL24_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q8TF72","SHRM3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q9H0A0","NAT10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","Q07666","KHDR1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","Q13247","SRSF6_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","Q9BQA1","MEP50_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q9NR30","DDX21_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P53999","TCP4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P62316","SMD2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","Q07021","C1QBP_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","P62917","RL8_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P62277","RS13_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","Q07065","CKAP4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P30101","PDIA3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P34932","HSP74_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P08865","RSSA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P62847","RS24_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","O60884","DNJA2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P17987","TCPA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P13639","EF2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P30050","RL12_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P50914","RL14_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q9P2R3","ANFY1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P31689","DNJA1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","Q8IUR0","TPPC5_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","P62917","RL8_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q8TEX9","IPO4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P11908","PRPS2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","P25686","DNJB2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","Q9NS86","LANC2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P62328","TYB4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P62249","RS16_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","P52732","KIF11_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","Q13151","ROA0_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","Q9Y6C9","MTCH2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","P52294","IMA5_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q2TB90","HKDC1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P10809","CH60_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q20MH0","PB1F2_I33A0 ","Q02878","RL6_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","Q14103","HNRPD_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q8TDL5","BPIB1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","Q15149","PLEC_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q9H0A0","NAT10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P50914","RL14_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","Q99615","DNJC7_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P55084","ECHB_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q14839","CHD4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q14258","TRI25_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P42677","RS27_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","P78406","RAE1L_HUMAN ","coimmunoprecipitation","17267598"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q9BPX3","CND3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","O95373","IPO7_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","Q5BJE1","CC178_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q20MH0","PB1F2_I33A0 ","P61247","RS3A_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q92665","RT31_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P49755","TMEDA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q96IX5","USMG5_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P62308","RUXG_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q9P035","HACD3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","P98179","RBM3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P20810","ICAL_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P35527","K1C9_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","P07900","HS90A_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","Q00266","METK1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P61247","RS3A_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P40939","ECHA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P04637","P53_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P26641","EF1G_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","Q07666","KHDR1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","Q99729","ROAA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","O75533","SF3B1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q8WUA2","PPIL4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P62277","RS13_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","P42677","RS27_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","Q13247","SRSF6_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q20MH0","PB1F2_I33A0 ","P50991","TCPD_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q02978","M2OM_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P31946","1433B_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q13838","DX39B_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P35998","PRS7_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","P25205","MCM3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q96HS1","PGAM5_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q92945","FUBP2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P06748","NPM_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","Q13310","PABP4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P60953","CDC42_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P05141","ADT2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","Q9UMS4","PRP19_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P40227","TCPZ_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","Q9Y657","SPIN1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","Q96L21","RL10L_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q75N03","HAKAI_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","O43242","PSMD3_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q8N1W1","ARG28_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","O60506","HNRPQ_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","Q86YZ3","HORN_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P30041","PRDX6_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P84090","ERH_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q8WVM0","TFB1M_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","P68032","ACTC_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","Q8WWY3","PRP31_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","P08708","RS17_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P78362","SRPK2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q92598","HS105_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","Q01081","U2AF1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","P46783","RS10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P24534","EF1B_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q20MH0","PB1F2_I33A0 ","P49368","TCPG_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","O43143","DHX15_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P07305","H10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","Q9NR30","DDX21_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P46783","RS10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P46782","RS5_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P78362","SRPK2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P52907","CAZA1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","Q99623","PHB2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P35544","UBIM_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","Q02878","RL6_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","O00622","CYR61_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","O15042","SR140_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P37802","TAGL2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / BREVIG MISSION / 1 / 1918 (H1N1)","88776","Q99AU3","NS1_I18A0 ","P46108","CRK_HUMAN ","coimmunoprecipitation","18165234"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","Q9NVJ2","ARL8B_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q9Y3D9","RT23_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P46783","RS10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q96SB4","SRPK1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","Q8WWY3","PRP31_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P05455","LA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03427","PB2_I33A0 ","P18124","RL7_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P21333","FLNA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P62495","ERF1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P33993","MCM7_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03430","RDRP_I33A0 ","P46783","RS10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P13647","K2C5_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P17096","HMGA1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","Q08J23","NSUN2_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P18669","PGAM1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15682","NCAP_I33A0 ","P53999","TCP4_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P62701","RS4X_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","A6NDU8","CE051_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q89733","NEP_I33A0 ","O75688","PPM1B_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q3ZCQ8","TIM50_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P15659","PA_I33A0 ","P62829","RL23_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","Q14974","IMB1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","P62834","RAP1A_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","Q15717","ELAV1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03470","NRAM_I33A0 ","P50502","F10A1_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","P62995","TRA2B_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05777","M1_I33A0 ","O15360","FANCA_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","O43264","ZW10_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P03454","HEMA_I33A0 ","P17980","PRS6A_HUMAN ","coimmunoprecipitation","25464832"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","P05780","M2_I33A0 ","Q7Z4Q2","HEAT3_HUMAN ","coimmunoprecipitation","25464832"
