"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","O43390","HNRPR_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q93077","H2A1C_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P42336","PK3CA_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q9H0C2","ADT4_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P27348","1433T_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q7L2E3","DHX30_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P31942","HNRH3_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q16777","H2A2C_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q6FI13","H2A2A_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P67809","YBOX1_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q99729","ROAA_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q86U42","PABP2_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P63267","ACTH_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P12236","ADT3_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P11940","PABP1_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P43243","MATR3_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q7L7L0","H2A3_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","O00459","P85B_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P07910","HNRPC_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P62829","RL23_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q9NPA8","ENY2_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P14866","HNRPL_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q12905","ILF2_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q96KK5","H2A1H_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","O60506","HNRPQ_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q9NNW5","WDR6_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P62805","H4_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q12906","ILF3_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q5JVF3","PCID2_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P04908","H2A1B_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q8N163","CCAR2_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q9BTM1","H2AJ_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q5VTE0","EF1A3_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P0C0S8","H2A1_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","O43143","DHX15_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P22626","ROA2_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P63104","1433Z_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q00839","HNRPU_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P23396","RS3_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","O14654","IRS4_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P09651","ROA1_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q08211","DHX9_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P12235","ADT1_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P35637","FUS_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P62269","RS18_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P25398","RS12_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P31946","1433B_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P68104","EF1A1_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P31943","HNRH1_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P52597","HNRPF_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q99878","H2A1J_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P62736","ACTA_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P07437","TBB5_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P20671","H2A1D_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P06821","M2_I34A1 ","P35520","CBS_HUMAN ","two hybrid","20064372"
