virusUprot,humanUprot
I6TAG8,Q8WYJ6
I6TAG8,O75569
B4UPB6,P50222
B4UPB6,Q8N5I3
B4UPB6,Q9UJ41
B4UPB6,Q12800
B4UPB3,Q9Y305
T2AAS6,Q96MC5
B4UPB6,O43889
B4UPA8,O95793
I6TAG8,P51116
B4UPA8,P50222
B4UPA8,Q96B26
B4UPB3,O00505
B4UPB6,Q12933
B4UPB6,P43360
T2AAS6,Q8TD10
B4UPA8,Q8N448
I6TAG8,Q13190
I6TAG8,Q8N9N5
B4UPB3,Q96FZ7
I6TAG8,O95793
B4UPB6,Q93062
B4UPB6,Q8NF50
B4UPB6,Q92997
B4UPB6,Q96DZ9
T2AAS6,Q13126
B4UPA8,Q12800
B4UPB6,Q8TD10
T2AAS6,O60684
B4UPB6,Q8N5R6
I6TAG8,P63279
B4UPB6,Q9P1Z2
P03431,A8K8G6
B4UPB3,P81877
B4UPB6,O75410
B4UPB3,Q8N448
I6TAG8,Q9HA38
B4UPB6,Q8NHQ1
T2AAS6,P43360
T2AAS6,O00505
B4UPB3,O14639
B4UPB3,P50222
B4UPB1,Q13155
B4UPB6,O14641
B4UPB3,Q13362
B4UPB3,O75489
B4UPB1,Q96FJ2
B4UPB3,Q96T21
B4UPB3,Q99942
T2AAS6,Q8NHQ1
B4UPB6,Q13077
B4UPB3,Q96EC8
B4UPB6,Q99081
B4UPA8,Q9H190
B4UPB6,Q8N9N5
B4UPB3,B2R6D8
I6TAG8,Q96AT1
B4UPB3,Q9BXR0
B4UPA8,O75569
I6TAG8,P45984
B4UPB3,Q6IBW4
B4UPA8,O14641
T2AAS6,Q9Y5V3
I6TAG8,O00505
B4UPB6,Q8N448
B4UPB3,P10746
B4UPB6,P02511
B4UPB6,Q8ND90
B4UPB3,Q7LBR1
T2AAS6,P51116
I6TAG8,Q96IP2
B4UPB3,Q6IB77
B4UPB6,P43364
T2AAS6,Q13077
B4UPB3,Q96D05
B4UPA8,P11142
I6TAG8,O00459
I6TAG8,Q14258
B4UPB6,Q6P1W5
P03437,P01903
P03437,P01911
P04664,P01903
P04664,P01911
P03485,Q8WLS4
P03437,P01903
P03437,P01911
P04664,P01903
P04664,P01911
P03485,Q8WLS4
Q99AU3,P22626
Q99AU3,Q5JVF3
Q99AU3,Q12905
Q99AU3,Q00839
Q99AU3,O60506
Q99AU3,Q9NZI8
Q99AU3,P14866
Q99AU3,Q13310
Q99AU3,O00459
Q99AU3,P09651
Q99AU3,P07437
Q99AU3,Q9NPA8
Q99AU3,O43390
Q99AU3,P55265
Q99AU3,P07910
Q99AU3,P11940
Q99AU3,Q8N163
Q99AU3,Q08211
Q99AU3,O14654
Q99AU3,Q99729
Q99AU3,P61978
Q99AU3,Q96PV6
Q99AU3,P43243
O56264,O00571
O56264,Q7L2E3
O56264,Q9UKM9
O56264,Q9NZI8
O56264,P61978
O56264,Q8N257
O56264,P31943
O56264,P62805
O56264,Q93079
O56264,P07910
O56264,P62807
O56264,Q92900
O56264,Q5VTE0
O56264,Q99879
O56264,P52597
O56264,P62847
O56264,P14866
O56264,P62280
O56264,P57053
O56264,Q12906
O56264,P35268
O56264,P52815
O56264,P23396
O56264,P31946
O56264,Q93077
O56264,Q12905
O56264,P33778
O56264,P05141
O56264,P0C0S8
O56264,O60506
O56264,Q08380
O56264,P62269
O56264,P26599
O56264,P55265
O56264,P58876
O56264,Q9NNW5
O56264,P15880
O56264,P22626
O56264,Q92841
O56264,P62258
O56264,P62701
O56264,Q9HCE1
O56264,Q16778
O56264,Q9Y2I1
O56264,Q96KK5
O56264,Q6FI13
O56264,Q9Y224
