gene,mut,BME0304,BME0390,BME0736,BME1013,BME1044,BME1111,BME1361,BME1482,BME1577,BME1658,CBU CirA,CBU0388,CBU CirB,CBU0794,CBU CirC,CBU1198,CBU1217,CBU1314,CBU CirD,CBU_CirE,ST AvrA,ST CigR,ST GtgE,ST PipB,ST SipD,ST SopD,ST SptP,ST SpvB,ST SseC,ST SseG,ST SseI,ST SseK1,ST SseK2,ST SseK3,ST SteA,ST SteB
RIF2,RIF2,-1.071112398,0.035293772,-1.580471848,-0.256713141,-1.862477029,0.964212207,0.472100816,0.139645763,0.520510814,-2.361090124,0.251543891,1.522557527,1.977283648,0.498782379,0.714292379,-0.034869663,0.390611604,0.757478887,-0.21049291,-0.927611469,0.158941205,-1.275632036,2.141173408,1.203271022,-1.040121406,3.148068539,1.145190277,-1.119628897,0.968724611,-0.291145068,2.20E-05,-2.832350714,0.937875381,-0.808473734,0.035927814,-1.901291744
SDC1,SDC1,-1.832422028,-1.802738355,-1.257491464,-3.983867116,-0.100915728,2.595808038,-1.366854908,-0.730956507,-1.245648806,-1.360053568,2.291314877,2.897989442,0.000598438,3.317032352,-1.053630577,0.480860048,-0.515941683,1.308325371,0.820259486,-1.020929346,1.54649334,0.002260248,0.749771489,-0.467166048,-0.664793823,2.246218591,1.1445544,-0.875893983,-0.580201291,1.060242507,-0.779075911,0.574962816,-0.32096981,-2.053219617,2.33594917,0.904119707
HST3,HST3,-1.031727518,2.721112042,-0.205136494,2.392732821,0.798376662,-0.272592567,-1.084537709,-2.331462621,-2.528452855,2.531707729,0.287950117,1.373507011,1.364925034,-0.217043709,0.539322631,0.505783902,1.899070211,0.051000059,0.032943859,-2.547651585,2.09895053,0.986029127,-1.094652838,2.553040194,0.534378443,-0.124821878,1.143714406,0.340371686,-0.977669973,-0.305420852,-1.295094283,0.049706416,-1.217245212,-2.063118784,0.448804248,0.483839338
RPL21B,RPL21B,-0.147502632,0.166452598,1.023526869,1.760187054,0.9215366,0.422983839,-0.868000052,-2.819134863,0.480536957,2.743734217,0.730765493,1.591485563,0.981259018,-0.366602055,-0.671484491,-1.414319597,1.039395117,0.392047884,-0.162725567,-0.649643003,1.178110129,0.857259424,2.049451941,0.031910158,-0.126175142,-1.11609151,1.141514273,1.311137747,-1.317775283,-0.418665535,-1.373970729,-1.423868376,1.911372132,-1.265566425,-0.37529319,1.18994836
YFL019C,YFL019C,-0.785795787,-1.237904799,0.185287482,0.673239389,-0.861114091,1.212566257,-1.22369549,-0.053947214,-1.534700845,0.142718975,-1.199254613,1.405098713,-0.621216231,-0.83275997,-1.382592318,-0.776523323,-1.626766862,1.97591188,-0.502902878,-0.090929254,0.783728743,-0.860409774,0.3059719,-0.699071173,-1.614496736,0.570613762,1.141031089,0.397754894,1.080108292,0.83514946,-0.14384071,0.322333092,-0.178511301,-1.398027349,-0.291242901,0.833450093
UTH1,UTH1,-2.611383253,-1.521717908,0.455878508,0.752057396,-2.063489679,-0.697561312,1.935295688,2.401580057,2.488802447,-0.651851948,-0.124405949,-2.273302021,-1.399543811,-2.358348021,2.614977221,2.628733669,-1.92242415,-2.495110033,2.090311763,4.301827541,-1.498599054,-1.081376736,0.200099109,0.216335895,0.708077643,-0.141963502,1.139741538,-1.719293724,-0.263743946,0.819272592,3.141919997,-0.650432664,1.405908162,-1.173851079,0.589920502,0.909815872
RLF2,RLF2,0.000134147,0.73879768,-3.099801121,-0.188040159,-1.756363609,-1.660415445,-0.535189384,0.637319518,0.169726248,-3.022591576,3.530510076,0.050654324,-3.537354293,8.452328636,3.690261659,1.541441184,0.4970034,-2.913192177,0.616448727,2.31508826,-0.224686002,0.287496385,-1.873205945,0.065973654,1.362722427,-0.024032845,1.133648951,-1.816879494,1.375060883,2.131592551,2.455123765,-0.54099403,-1.564993408,2.312437364,1.623740922,-1.653584414
GPI8,GPI8-TS,-3.543488326,0.820575565,-4.053964931,2.288985025,-1.683393271,-6.120335083,-1.670853048,5.521287975,-1.569579041,0.651870716,3.784808902,-3.694487699,0.013077444,-1.976107783,4.146203,0.548288221,-2.201650481,-0.379622949,2.529954265,2.696997063,-2.289295243,2.451983837,2.380582681,-3.138166653,2.810434171,-2.374013851,1.132673584,1.648002021,6.024532812,6.368413196,-3.502299937,4.989150705,-2.736562016,1.387326571,-0.821924761,2.480738498
APL5,APL5,-1.324099515,-1.743031878,-1.773094581,1.797734728,0.370457298,0.848182407,0.356049937,1.902261976,-1.203978039,1.96176805,3.928973506,-2.569763556,-0.296577238,-5.097863121,1.311900908,2.655854624,-1.086329545,-1.651425053,2.945861475,2.01902494,1.578098944,2.144833667,0.692299276,-4.790248392,0.471556027,-3.332540075,1.129683185,-0.833984918,8.244409943,5.146321327,-2.709167085,4.379801497,-3.619065329,-0.64618729,-0.980456388,5.460742644
PSH1,PSH1,1.02372066,-1.639805154,0.484007452,-0.529841813,0.957462595,3.199241675,1.018666876,1.99964239,-1.527590807,-0.440885122,-2.773719148,4.761486302,-1.348343344,1.857005142,-1.04189335,-0.797750159,-2.714306013,0.888158711,0.437290362,0.07485563,-1.11751892,0.598413268,-0.494864302,3.449170034,0.039017713,0.940570236,1.129104793,0.747414678,-2.454794071,-1.14596002,0.699401761,-0.430707678,-0.4972708,1.793942179,1.541429326,1.850368935
HXT3,HXT3,-1.533732339,0.533324518,-0.224792791,-1.015446099,-0.645520778,-1.494486187,2.231799211,-5.353847965,0.14157671,0.84624979,3.900352159,1.668800738,0.469801199,-0.717024814,2.910088228,-2.419985186,2.675752897,3.1420749,-2.869409617,-3.841439336,0.007488143,-0.907246237,0.030296918,-0.631073483,-0.645848771,-0.929631113,1.128481167,-2.408713597,1.155874419,1.16820444,-0.823189749,1.337433813,1.792864518,-1.33181818,1.413059557,3.832793118
VAM6,VAM6,1.188282786,0.352746686,-1.871138927,2.910929476,-0.960694343,-0.590637938,0.087308258,1.069793752,-0.144652296,0.579237373,2.263350329,-1.841403274,-1.587265516,-0.489818608,2.728526247,1.059030606,0.378849748,-0.347817513,2.16633229,-0.306098222,-1.686134181,0.858043777,-0.459448553,-1.784856445,0.556784268,0.535484264,1.127297993,-1.246146304,4.544540723,3.293718065,-1.423800875,0.685601468,-1.299133665,0.476582851,-1.446189536,-1.272335798
MAL11,MAL11,-0.721145058,0.713674798,0.52555009,-0.951247011,1.826500876,0.082205762,0.449264974,0.590877627,1.509662843,0.225110915,0.343022187,-0.259885528,0.106702595,-0.120269563,-0.20536624,0.451232639,0.203115675,-1.623637302,0.330399714,0.720713569,-0.213415546,0.752859082,0.210808272,-0.114086427,1.748693829,0.123005442,1.126709025,1.239844495,-1.585164387,-0.047791344,1.42662298,-0.071314067,-1.008943095,-0.252643225,0.414115144,-0.644454644
LPL1,LPL1,-0.229936293,0.562114626,-1.892215088,-0.08993783,0.811564013,-0.882672774,0.986142635,-1.410773169,-0.099822532,1.717946667,2.248888192,-1.003685068,2.131258197,-0.39326758,1.167459416,-3.072214937,1.232664769,0.330393786,-1.018815595,-3.154340848,-0.634114754,0.499978211,-3.481030826,0.243115508,-0.206384776,-0.209412898,1.126654227,-1.01346178,3.621465495,1.967417401,-2.216554431,1.133212779,-1.127584622,0.278515441,-1.063091473,-0.611223415
DBF2,DBF2-3,0.456020005,2.683411619,-0.644039747,-0.70930609,-0.192062617,-0.507420101,-0.806646607,-2.246206228,-1.702715739,0.358028252,2.800547417,-0.60319005,-3.278672568,-1.523856618,0.89039726,0.175479525,1.476473398,1.842405583,0.201006603,0.078300184,1.412766931,-1.02052001,-0.570117926,-1.761868354,1.636247321,0.597712152,1.125314588,3.040717453,-1.057461095,-0.492851322,-2.073141314,1.353286275,-1.770042357,1.371724918,1.120107382,-1.0464483
MAK11,MAK11-2,-0.778449952,0.737653571,-1.100514798,3.151598684,1.889393151,-1.509426177,-0.916053016,-0.189269843,0.289742504,2.001488793,0.448634576,0.476779235,0.690023612,1.166860689,0.811524704,-0.214671274,-0.722194102,-2.848690811,0.547552295,1.613623483,-0.621550317,1.732914579,-2.365702569,-1.179641618,0.008931963,0.01614889,1.124024438,-1.808504891,0.673823768,-0.238852028,-0.782045474,2.447153724,1.462611963,1.774906152,-1.758907743,-2.274109325
RUP1,RUP1,-2.647186543,-0.879015687,-3.030728627,-0.974899258,-1.447969053,2.857375209,-1.275769157,-0.367008233,-3.509275356,3.595471757,3.098278815,-0.210630522,1.473520918,2.083025533,1.668794336,-0.185113123,-0.410602358,0.455800494,1.12645931,-0.538866496,-0.699810127,0.17309259,-1.896126481,-0.583267021,-0.845400002,0.485892548,1.123253672,-1.116880546,3.512390016,1.870133568,-1.275418995,0.2692696,-1.553562738,-1.352345774,0.950018422,1.724982595
MAM1,MAM1,-0.634974719,-1.186185396,-0.909486722,0.007302577,1.174168999,-1.461755457,-1.711913508,0.135892922,0.626767848,-0.280727443,0.35244037,0.624096947,-0.108804862,1.173812458,-0.213582698,0.809425813,-0.280786164,-0.770097495,-0.893278841,1.075912752,3.101866105,1.638207717,-0.245402303,-0.320600823,0.469130604,-0.487232709,1.12253173,0.17714983,-0.048123346,0.510204731,-0.831651787,1.256146615,1.121272901,-0.738568236,-2.592719539,3.064751501
